key	label
spec_ed_level	Level of special education programming
special_ed_programs	Specialized programs for specific types of special education students
staff_languages	Foreign languages spoken by staff
staff_languages_other	Foreign languages spoken by staff (misc.)
staff_resources	Staff
start_time	School start time
student_clubs	Clubs
student_clubs_dance	Clubs - dance
student_clubs_language	Clubs - language
student_clubs_other_1	Clubs (misc.)
student_clubs_other_2	Clubs (misc.)
student_clubs_other_3	Clubs (misc.)
students_accepted	# of students accepted
students_accepted_year	For the year
students_vouchers	Vouchers accepted
summer_program	Summer program offered
summer_program_activities_1	Types of activities
summer_program_activities_2	Types of activities
summer_program_activities_3	Types of activities
summer_program_activities_4	Types of activities
summer_program_activities_5	Types of activities
summer_program_activities_other_1	Types of activities (misc.)
summer_program_activities_other_2	Types of activities (misc.)
summer_program_activities_other_3	Types of activities (misc.)
summer_program_activities_other_4	Types of activities (misc.)
summer_program_activities_other_5	Types of activities (misc.)
summer_program_attendance_restriction_1	Enrollment limited to students attending the school
summer_program_attendance_restriction_2	Enrollment limited to students attending the school
summer_program_attendance_restriction_3	Enrollment limited to students attending the school
summer_program_attendance_restriction_4	Enrollment limited to students attending the school
summer_program_attendance_restriction_5	Enrollment limited to students attending the school
summer_program_before_after_care_1	Before / after care
summer_program_before_after_care_2	Before / after care
summer_program_before_after_care_3	Before / after care
summer_program_before_after_care_4	Before / after care
summer_program_before_after_care_5	Before / after care
summer_program_before_after_care_end_1	After care end time
summer_program_before_after_care_end_2	After care end time
summer_program_before_after_care_end_3	After care end time
summer_program_before_after_care_end_4	After care end time
summer_program_before_after_care_end_5	After care end time
summer_program_before_after_care_start_1	Before care start time
summer_program_before_after_care_start_2	Before care start time
summer_program_before_after_care_start_3	Before care start time
summer_program_before_after_care_start_4	Before care start time
summer_program_before_after_care_start_5	Before care start time
summer_program_date_end_1	End date
summer_program_date_end_2	End date
summer_program_date_end_3	End date
summer_program_date_end_4	End date
summer_program_date_end_5	End date
summer_program_date_start_1	Start date
summer_program_date_start_2	Start date
summer_program_date_start_3	Start date
summer_program_date_start_4	Start date
summer_program_date_start_5	Start date
summer_program_day_1	Days offered
summer_program_day_2	Days offered
summer_program_day_3	Days offered
summer_program_day_4	Days offered
summer_program_day_5	Days offered
summer_program_description_1	About the program
summer_program_description_2	About the program
summer_program_description_3	About the program
summer_program_description_4	About the program
summer_program_description_5	About the program
summer_program_end_1	End time
summer_program_end_2	End time
summer_program_end_3	End time
summer_program_end_4	End time
summer_program_end_5	End time
summer_program_fee_1	Fee
summer_program_fee_2	Fee
summer_program_fee_3	Fee
summer_program_fee_4	Fee
summer_program_fee_5	Fee
summer_program_fee_learn_more_1	Learn more about fees
summer_program_fee_learn_more_2	Learn more about fees
summer_program_fee_learn_more_3	Learn more about fees
summer_program_fee_learn_more_4	Learn more about fees
summer_program_fee_learn_more_5	Learn more about fees
summer_program_financial_aid_1	Financial aid
summer_program_financial_aid_2	Financial aid
summer_program_financial_aid_3	Financial aid
summer_program_financial_aid_4	Financial aid
summer_program_financial_aid_5	Financial aid
summer_program_grade_1	Participating grades
summer_program_grade_2	Participating grades
summer_program_grade_3	Participating grades
summer_program_grade_4	Participating grades
summer_program_grade_5	Participating grades
summer_program_name_1	Summer program
summer_program_name_2	Summer program
summer_program_name_3	Summer program
summer_program_name_4	Summer program
summer_program_name_5	Summer program
summer_program_operator_1	Operator
summer_program_operator_2	Operator
summer_program_operator_3	Operator
summer_program_operator_4	Operator
summer_program_operator_5	Operator
summer_program_phone_1	Phone number
summer_program_phone_2	Phone number
summer_program_phone_3	Phone number
summer_program_phone_4	Phone number
summer_program_phone_5	Phone number
summer_program_start_1	Start time
summer_program_start_2	Start time
summer_program_start_3	Start time
summer_program_start_4	Start time
summer_program_start_5	Start time
summer_program_website_1	Website
summer_program_website_2	Website
summer_program_website_3	Website
summer_program_website_4	Website
summer_program_website_5	Website
transportation	Transportation options
transportation_other	Transportation options (misc.)
tuition_high	Tuition range (high)
tuition_low	Tuition range (low)
tuition_year	For the year
transportation_shuttle	School-run shuttle from nearby metro and bus stops
transportation_shuttle_other	Metro/Bus lines
school_mascot	School mascot
school_colors	School colors
